DATA;TEMPERATURA MAXIMA;PRECIPITACAO
18/10/2019;24.74;1
19/10/2019;23.34;1
20/10/2019;23.12;0
21/10/2019;15.99;1
22/10/2019;21.11;1
23/10/2019;23.93;0
24/10/2019;25.64;0
25/10/2019;27.08;0
26/10/2019;28.75;0
27/10/2019;26.24;0
28/10/2019;22.88;1
29/10/2019;27.95;1
30/10/2019;25.6;0
31/10/2019;20.55;1
01/11/2019;26.85;1
02/11/2019;29.51;0
03/11/2019;25.36;1
04/11/2019;25.26;1
05/11/2019;21.47;1
06/11/2019;24.31;1
07/11/2019;22.16;1
08/11/2019;25.48;1
09/11/2019;26.5;1
10/11/2019;25.17;1
11/11/2019;25.5;1
12/11/2019;24.26;0
13/11/2019;22.32;0
14/11/2019;21.19;1
15/11/2019;23.49;1
16/11/2019;25.25;0
17/11/2019;26.86;0
18/11/2019;27.22;0
19/11/2019;28.4;0
20/11/2019;28.65;0
21/11/2019;29.48;0
22/11/2019;30.1;1
23/11/2019;25.15;0
24/11/2019;21.97;0
25/11/2019;25.96;0
26/11/2019;22.25;0
27/11/2019;20.79;1
28/11/2019;21.11;1
29/11/2019;27.32;0
30/11/2019;28.91;0
01/12/2019;26.22;0
02/12/2019;22.61;1
03/12/2019;25.11;0
04/12/2019;24.47;1
05/12/2019;23.91;1
06/12/2019;24.85;1
07/12/2019;26.07;0
08/12/2019;24.93;0
09/12/2019;23.11;1
10/12/2019;27.48;0
11/12/2019;27.51;1
12/12/2019;27.35;1
13/12/2019;28.19;1
14/12/2019;27.16;1
15/12/2019;25.77;1
16/12/2019;19.62;1
17/12/2019;20.39;1
18/12/2019;20.61;1
19/12/2019;24.89;0
20/12/2019;28.22;0
21/12/2019;23.67;1
22/12/2019;24.5;1
23/12/2019;25.55;1
24/12/2019;28.22;0
25/12/2019;30.28;0
26/12/2019;31.02;0
27/12/2019;30.86;0
28/12/2019;30.71;1
29/12/2019;32.09;1
30/12/2019;31.02;1
31/12/2019;30.59;1
01/01/2020;27.57;1
02/01/2020;25.18;1
03/01/2020;23.1;0
04/01/2020;25.34;0
05/01/2020;27.05;0
06/01/2020;29.04;0
07/01/2020;25.84;1
08/01/2020;29.37;1
09/01/2020;30.42;1
10/01/2020;26.97;1
11/01/2020;26.47;1
12/01/2020;27.43;1
13/01/2020;27.7;1
14/01/2020;26.48;1
15/01/2020;27.99;0
16/01/2020;24.08;1
17/01/2020;20.56;1
18/01/2020;23.9;0
19/01/2020;27.13;0
20/01/2020;26.98;0
21/01/2020;23.97;1
22/01/2020;18.27;1
23/01/2020;21.13;1
24/01/2020;22.98;0
25/01/2020;26.52;0
26/01/2020;28.24;0
