DATA;ANO;MES;DIA;DIA-SEMANA;HORA; QTDE CURSOS PRESENCIAIS NA ULTIMA HORA;FERIADO/RECESSO;FERIAS;COVID
30/08/2018 10:00;2018;8;30;3;10;5;0;0;0
30/08/2018 11:00;2018;8;30;3;11;5;0;0;0
30/08/2018 12:00;2018;8;30;3;12;5;0;0;0
30/08/2018 13:00;2018;8;30;3;13;0;0;0;0
30/08/2018 14:00;2018;8;30;3;14;5;0;0;0
30/08/2018 15:00;2018;8;30;3;15;5;0;0;0
30/08/2018 16:00;2018;8;30;3;16;5;0;0;0
30/08/2018 17:00;2018;8;30;3;17;5;0;0;0
30/08/2018 18:00;2018;8;30;3;18;0;0;0;0
30/08/2018 19:00;2018;8;30;3;19;0;0;0;0
30/08/2018 20:00;2018;8;30;3;20;10;0;0;0
30/08/2018 21:00;2018;8;30;3;21;10;0;0;0
30/08/2018 22:00;2018;8;30;3;22;10;0;0;0
30/08/2018 23:00;2018;8;30;3;23;10;0;0;0
31/08/2018 00:00;2018;8;31;4;0;0;0;0;0
31/08/2018 01:00;2018;8;31;4;1;0;0;0;0
31/08/2018 02:00;2018;8;31;4;2;0;0;0;0
31/08/2018 03:00;2018;8;31;4;3;0;0;0;0
31/08/2018 04:00;2018;8;31;4;4;0;0;0;0
31/08/2018 05:00;2018;8;31;4;5;0;0;0;0
31/08/2018 06:00;2018;8;31;4;6;0;0;0;0
31/08/2018 07:00;2018;8;31;4;7;0;0;0;0
31/08/2018 08:00;2018;8;31;4;8;0;0;0;0
31/08/2018 09:00;2018;8;31;4;9;5;0;0;0
31/08/2018 10:00;2018;8;31;4;10;5;0;0;0
31/08/2018 11:00;2018;8;31;4;11;5;0;0;0
31/08/2018 12:00;2018;8;31;4;12;5;0;0;0
31/08/2018 13:00;2018;8;31;4;13;0;0;0;0
31/08/2018 14:00;2018;8;31;4;14;5;0;0;0
31/08/2018 15:00;2018;8;31;4;15;5;0;0;0
31/08/2018 16:00;2018;8;31;4;16;5;0;0;0
31/08/2018 17:00;2018;8;31;4;17;5;0;0;0
31/08/2018 18:00;2018;8;31;4;18;0;0;0;0
31/08/2018 19:00;2018;8;31;4;19;0;0;0;0
31/08/2018 20:00;2018;8;31;4;20;10;0;0;0
